Title,Company,Skills,Region,City
senior software tester,our education,"itsoftware development, automation, computer science, qa, qc, quality control, information technology it, quality assurance",nasr city,cairo
technical project manager,informatique education,"medical, engineering, pmp, projectprogram management, healthcare, business administration",No Region,cairo
flutter developer med senior,spark systems,"json, computer engineering, computer science, mobile developer, app store, code versioning tools, flutter, information technology it",sheikh zayed,giza
angular frontend developer,hiremoters,"frontend, html, computer science, css, jquery, nodejs, python, software development, information technology it, web development",No Region,cairo
it service desk specialist qena,erada,"ms sccm, technical support, computer science, av console, print server, desktop operating systems, communications",qena,qena
spring boot backend developer freelancer or full time,hiremoters,"json, html, backend, fix bugs, coding, programming, information technology it, software engineering, php, web development",No Region,cairo
cloud infrastructure engineer,34ml,"computer science, paas, software development, computer engineeirng, software engineering, cloud engineering, saas",heliopolis,cairo
vuejs frontend developer,34ml,"html, js, computer science, laravel, software, javascript, ui, mvc, azure, css, php, rest, web development",heliopolis,cairo
senior android developer,34ml,"json, web services, computer science, mobile development, software development, information technology it, android sdk, gradle",heliopolis,cairo
senior ios developer,34ml,"engineering, computer science, software development, ios, github, bitbucket, sdk, objective c, information technology it, swift",heliopolis,cairo
senior qa engineer,34ml,"quality, engineering  constructioncivilarchitecture, quality assurance, architectural engineering",heliopolis,cairo
bi software adminstrator,lecico egypt,"bi, english, business data, power bi, computer science, database, business development, data analytics, data analysis, sql",No Region,alexandria
senior java developer,egabi fsi,"engineering, restful, webrtc, computer science, scrum, aws, mysql, software development, information technology it, nosql",sheraton,cairo
it specialist,bariq,"engineering, ccnp, computer science, networking, ccna, information technology it, itsoftware development",6th of october,giza
odoo implementer,el nasr group,"computer science, odoo developer, software development, engineering  telecomtechnology, itsoftware development",heliopolis,cairo
it network engineer,living in interiors  egypt,"english, security, engineering, ccnp, computer science, networking, communication, installation, itil foundation",new cairo,cairo
senior frontend developer angular,aria systems,"git, css3, agile, computer science, html5, software development, jquery, javascript, mvc, angular, oop, sass",maadi,cairo
it specialist,living in interiors  egypt,"engineering, ccnp, computer science, networking, ccna, information technology it, itsoftware development",new cairo,cairo
senior full stack developer net core  angular 8 onsite,confidential,"ms asp, programmer, computer science, apis, web applications, xml, mvc, css, information technology it, software engineering",nasr city,cairo
php developer,casita,"software development, information technology it, software engineering, php, itsoftware development",dokki,giza
officer programs,eslsca university,"analysis, programs manager, reporting, project management, communication, development sector, programs management, strategic planning, budgeting",6th of october,giza
database expert erp,wadi group,"machine learning, data analysis, sql, python",sheikh zayed,giza
it help desk  mokattam hospital,al ahly medical company,"communication skills, computer science, mcsa, installation, ccna, information technology it, itsoftware development",No Region,cairo
android developer,fixed solutions,"json, backend, computer science, fragments, spring, fullstack, ionic, information technology it, software engineering",sheraton,cairo
microsoft dynamics navbusiness central developer,dynamicslink,"english, computer engineering, computer science, microsoft nav development, software development, microsoft sql server",nasr city,cairo
senior net full stack developer,aria systems,"html, react, computer science, net, javascript, xml, angular, css, information technology it, sql, php",maadi,cairo
